"Codigo Articulo","Descripción","Des.Marca","Familia","Sub-Familia","Unidad de stock"
"000001","LIMPIACABEZAL DE LECTORA DE CD MAXIMA","MAXIMA","000","550","UNI"
"000002","FILTRO    14" VIDRIO MAXIMA","MAXIMA","000","100","UNI"
"000003","LIMPIA CABEZAL 3.5 KIT CECS3CK","CLEANING","000","100","UNI"
"000004","FILTRO DE PANTALLA AF200L 14/15"","3M","000","100","UNI"
"000005","MOUSE LOGITECH OEM(BOLSA) ORIGINAL PS2","S/M","000","100","UNI"
"000006","MOUSE GENIUS EASY K2006103","S/M","000","100","UNI"
"000007","PAD PARA MOUSE C/FOTO ANTIDESLIZANTE","S/M","000","100","UNI"
"000008","PAD PARA MOUSE SIMPLE ANTIDESLIZANTE","S/M","000","100","UNI"
"000009","FILTRO    14" VIDRIO C/CORREA","GLASS-FILT","000","100","UNI"
"000010","CABEZAL CANON BC21E","CANON","000","100","UNI"
"000011","FUNDA 15" PC 4 PZAS PLASTICAS GENERICAS","S/M","000","100","PAQ"
"000012","FUNDA 17" PC 4 PZAS PLASTICAS GENERICAS","S/M","000","100","JGO"
"000013","SUPRESOR DE PICOS,6 TOMAS,22OV","S/M","000","100","UNI"
"000014","ADAPTADOR  DE REDONDO A PLANO","S/M","000","100","UNI"
"000015","FILTRO 12" ANTIREFLEJO","SCREEN-FIL","000","100","UNI"
"000016","FILTRO 17" VIDRIO NEGRO","S/M","000","100","UNI"
"000017","LIMPIACABEZAL 3.50 7301","S/M","000","100","UNI"
"000018","LIMPIACABEZAL 5.25 7503","S/M","000","100","UNI"
"000019","STAND PRINT (BASE IMPRESORA) 80-132C","S/M","000","100","UNI"
"000020","EST DE LIMPIEZA C/ASPIRADORA","S/M","000","100","UNI"
"000021","MOUSE PEN (LAPIC ELECT)","S/M","000","100","UNI"
"000022","MOUSE 3 BOTONES","S/M","000","100","UNI"
"000023","MOUSE PAD (PISO P.MOUSE)","S/M","000","100","UNI"
"000024","MOUSE POCK T (PORTA MOUSE)","S/M","000","100","UNI"
"000025","JOYSTICK CHICO","S/M","000","100","UNI"
"000026","JOYSTICK GRANDE","S/M","000","100","UNI"
"000027","DATA SWITCHAB MANUAL (ADAPT)","S/M","000","100","UNI"
"000028","CABLE PARALELO","S/M","000","100","UNI"
"000029","DATA SWITCH (CABLE)","S/M","000","100","UNI"
"000030","SUPRESOR DE PICO /220V","S/M","000","100","UNI"
"000031","FILTRO    14" VIDRIO MAXIMA","MAXIMA","000","100","UNI"
"000032","COPY CLIP (ACCES.SUJ PAPEL)","S/M","000","100","UNI"
"000033","FILTRO    12" MONO","S/M","000","100","UNI"
"000034","FILTRO    14" COLOR","S/M","000","100","UNI"
"000035","STAND PRINT (BASE IMPRESORA)","S/M","000","100","UNI"
"000036","FILTRO 14/15" AF100","3M","000","100","UNI"
"000037","LIMPIACABEZAL V-HCRP VHS 3M","3M","000","100","UNI"
"000038","LIMPIACABEZAL PARA AUDIO 3M","3M","000","100","UNI"
"000039","LIMPIACABEZAL PARA DRIVE 5.25","3M","000","100","UNI"
"000040","LIMPIACABEZAL P/DRIVE 3.5","3M","000","100","UNI"
"000041","LIMPIACABEZAL P/DRIVE 3.5","MAXIMA","000","550","UNI"
"000042","IMPRESORA STYLUS 400","EPSON","000","110","UNI"
"000043","IMPRESORA STYLUS 600","EPSON","000","110","UNI"
"000044","IMPRESORA STYLUS 800","EPSON","000","110","UNI"
"000045","CINTA PANASONIC P/MAQ.ESCRIBIR KX-E-3008","PANASONIC","000","120","UNI"
"000046","CINTA IBM SISTEMA 2000 MOD.3/5/6 3625","IBM","000","120","UNI"
"000047","CINTA 149C CORRECT C-105","K-SET","000","120","UNI"
"000048","CINTA 153C MAQ.ESCRIBIR 1325","K-SET","000","120","UNI"
"000049","CINTA 178C OLIVETTI 3225","K-SET","000","120","UNI"
"000050","CINTA 313N OLIVETTI 3320","K-SET","000","120","UNI"
"000051","CINTA 156C CANON 1625","K-SET","000","120","UNI"
"000052","CINTA ALPHA ROYAL 600 4325","K-SET","000","120","UNI"
"000053","CINTA OLIMPIA ES70-5025","K-SET","000","120","UNI"
"000054","CINTA OLIVETTI IBM 115","K-SET","000","120","UNI"
"000055","CINTA 140C P/MAQUINA IBM - C001","K-SET","000","120","UNI"
"000056","CINTA 313C OLIVETTI ET 2450 3325","K-SET","000","120","UNI"
"000057","CINTA CORRECT C-025 OLIVETTI ET-2700/230","K-SET","000","120","UNI"
"000058","CINTA PANASONIC KX-P 110/115/145/1090","K-SET","000","120","UNI"
"000059","CINTA 143C AMA","S/M","000","120","UNI"
"000060","CINTA 2060 RG","PELIKAN","000","120","UNI"
"000061","CINTA 140C","PELIKAN","000","120","UNI"
"000062","CINTA M/E TEK-NYL BICOLOR","PELIKAN","000","120","UNI"
"000063","CINTA M/E DIN-ALG BICOLOR","PELIKAN","000","120","UNI"
"000064","CINTA M/E DIN-ALG NEGRO","PELIKAN","000","120","UNI"
"000065","CINTA M/S DIN-ALG BICOLOR","PELIKAN","000","120","UNI"
"000066","CINTA M/E DIN-NYL BICOLOR","PELIKAN","000","120","UNI"
"000067","CINTA P/MAQ.ESC. NYLON BLACK","PELIKAN","000","120","UNI"
"000068","CINTA M/E TEK-ALG NEGRO","PELIKAN","000","120","UNI"
"000069","CINTA M/E TEK-ALG BICOLOR","PELIKAN","000","120","UNI"
"000070","CINTA M/S TEK-ALG BICOLOR","PELIKAN","000","120","UNI"
"000071","CINTA MAQ SUM DIN ALG NEGRO","S/M","000","120","UNI"
"000072","CINTA LIFT OF 141","PELIKAN","000","120","UNI"
"000073","CINTA M/S DIN-NYL BICOLOR","K-SET","000","120","UNI"
"000074","CINTA NYLON CORRECT ET-111 OLIV.","S/M","000","120","UNI"
"000075","CINTA MAGNETICA X 2400 PIES 3M","S/M","000","120","UNI"
"000076","CINTA M/E  NYLON 7002","K-SET","000","120","UNI"
"000077","CINTA M/E TEK-NYL NEGRO","PELIKAN","000","120","UNI"
"000078","CINTA M/S TEK-NYL BICOLOR","PELIKAN","000","120","UNI"
"000079","CINTA PARA MAQUINA DE ESCRIBIR CANO","S/M","000","120","UNI"
"000080","CINTA OLSEN N 155 N","OLSEN N","000","120","UNI"
"000081","CINTA GR 143-CORRECT","S/M","000","120","UNI"
"000082","CINTA GR 189-C CORRECT","S/M","000","120","UNI"
"000083","CINTA GR 149 CORRECT","S/M","000","120","UNI"
"000084","CINTA GR 163-C #2325","K-SET","000","120","UNI"
"000085","CINTA CORREG P/MAQ FAC","K-SET","000","120","UNI"
"000086","CINTA NYLON P/MAQ.CANON","K-SET","000","120","UNI"
"000087","CINTA COMPACT P/MAQ OLIMPIA","K-SET","000","120","UNI"
"000088","CINTA CORRECT P/MAQ OLIV","K-SET","000","120","UNI"
"000089","CINTA NYLON P/MAQ IBM","K-SET","000","120","UNI"
"000090","CINTA CORREG P/MAQ SILVE","K-SET","000","120","UNI"
"000091","CINTA PK-T35 P/MAQ PANAS","K-SET","000","120","UNI"
"000092","CINTA P/MAQ OLIMPIA","K-SET","000","120","UNI"
"000093","CINTA CORRECT CARBON","K-SET","000","120","UNI"
"000094","CINTA NYLON P/MAQ BIC CALC.","K-SET","000","120","UNI"
"000095","CINTA ERC-03P/MAQ EPSON","K-SET","000","120","UNI"
"000096","CINTA DIAB HITYPE II","K-SET","000","120","UNI"
"000097","CINTA MICRON P/IMP STA","K-SET","000","120","UNI"
"000098","CINTA DIGIT 30-36-40","K-SET","000","120","UNI"
"000099","CINTA COMREX CR-420","K-SET","000","120","UNI"
"000100","CINTA COMMODO MPS803","K-SET","000","120","UNI"
"000101","CINTA COMMODO MPS801","K-SET","000","120","UNI"
"000102","CINTA HARMON P/MAQ IBM","K-SET","000","120","UNI"
"000103","CINTA CORREG P/MAQ IBM","K-SET","000","120","UNI"
"000104","CINTA CORREG P/MAQ OLIV 2300 # C025","K-SET","000","120","UNI"
"000105","CINTA P/MAQ ESC OLIVETTI NU-KOTE","S/M","000","120","UNI"
"000106","CINTA CORRECT P/MAQ OLIV NU-KOTE","S/M","000","120","UNI"
"000107","CINTA NYLON M/E NEG BIC","FABER C.","000","120","UNI"
"000108","CINTA OLIVETTI ORIGINAL","S/M","000","120","UNI"
"000109","CINTA SHARP ZX-400 K-SET#04625","S/M","000","120","UNI"
"000110","CINTA CORRECT MAQ/IBM #C0005","K-SET","000","120","UNI"
"000111","CINTA CORRECT MAQ/OLIV #C0007","K-SET","000","120","UNI"
"000112","CINTA DATAPRODUCTS #8743","K-SET","000","120","UNI"
"000113","CINTA MAQ/IBM MOD1 #03725","K-SET","000","120","UNI"
"000114","CINTA MAQ/OLIV 2300 # 3325","K-SET","000","120","UNI"
"000115","CINTA MAQ/OLIM ASTR #05025","K-SET","000","120","UNI"
"000116","CINTA CORREG MAQ/CAN #1525","K-SET","000","120","UNI"
"000117","CINTA P/MAQ DYMO NARANJA","DYMO","000","120","UNI"
"000118","CINTA P/MAQ DYMO AZUL","DYMO","000","120","UNI"
"000119","CINTA P/MAQ DYMO NEGRO","DYMO","000","120","UNI"
"000120","CINTA P/ROTULAD. DYMO","DYMO","000","120","UNI"
"000121","CINTA PARA MAQ CENTRONIC        LIC","S/M","000","120","UNI"
"000122","CINTA P/MAQUINA TOWA MOD 192","TOWA","000","120","UNI"
"000123","CINTA CORRECT P/TOWA","S/M","000","120","UNI"
"000124","CINTA M/E ALGODON NEGRO","PELIKAN","000","120","UNI"
"000125","CINTA M/E NYLON NEGRO","CARBOLAN","001","120","UNI"
"000126","CINTA 153C BROTHER 1325","K-SET","000","120","UNI"
"000127","CINTA 177C OLIVETT 3425","K-SET","000","120","UNI"
"000128","CINTA 153C 1325 PANASON","K-SET","000","120","UNI"
"000129","CINTA SHARP 189C ZX","S/M","000","120","UNI"
"000130","CINTA IBM 2380/2390 #8624","S/M","000","120","UNI"
"000131","CINTA ZIPACS NYLON ALTA DURACION","S/M","000","120","UNI"
"000132","CINTA P/ I P SEIKOSH  2415","S/M","000","120","UNI"
"000133","CINTA M/E  MOD TOWA","TOWA","000","120","UNI"
"000134","CINTA CORRECT TOWA","S/M","000","120","UNI"
"000135","CD-R 80 MIN 650MB (CDQ-80CN)","SONY","000","130","UNI"
"000136","CD-R 80MIN 650MB","MAXELL","000","130","UNI"
"000137","DISCO PARA ZIP 100MB","IOMEGA","000","130","UNI"
"000138","DATA CARTRIDGE DC 6525 525MB","IMATION","000","140","UNI"
"000139","DATA TAPE      DDS-90 4MM 2GB","IMATION","000","140","UNI"
"000140","DATA CARTRIDGE DC 6150 150MB","S/M","000","140","UNI"
"000141","DISKETTE SUPER DISK 120MB  CX3","IMATION","000","150","CJA"
"000142","DISKETTE 5.25 MD H.D.X 10","S/M","000","150","CJA"
"000143","DISKETTE 5.25 MD D.D.X10","S/M","000","150","CJA"
"000144","DISKETTE 5.25 DS-DD","S/M","000","150","CJA"
"000145","DISKETTE 5.25 DS-HD","3M","000","150","CJA"
"000146","DISKETTE 3.5  DS-DD","3M","000","150","CJA"
"000147","DISKETTE 3.5HD CJAX10 COLORES","IMATION","000","150","CJA"
"000148","DISKETTE 5.25 DS-DD","3M","000","150","CJA"
"000149","DISKETTE 3.5  DS-DD   COL","3M","000","150","CJA"
"000150","DISKETTE 3.5HD CJAX10","IMATION","000","150","CJA"
"000151","DISKETTE 5.25 HD","BASF","000","150","CJA"
"000152","DISKETTE 5.25 DD","BASF","000","150","CJA"
"000153","DISKETTE 3.5  HD","SAMSUNG","000","150","CJA"
"000154","DISKETTE 3.5HD","BASF","000","150","CJA"
"000155","DISKETTE 3.5  HD OFER CX11","3M","000","150","CJA"
"000156","DISKETTE 3.5  HD-2MB","3M","000","150","CJA"
"000157","DISKETTE 5.25 DS-HD FORMATEADO","3M","000","150","CJA"
